"","""LEW.STD.1""","""LEW.STD.2""","""LEW.STD.3""","""LEW.STD.4""","""LEW.STD.5""","""WKY.STD.1""","""WKY.STD.2""","""WKY.STD.3""","""WKY.STD.4""","""WKY.STD.5""","""LEW.CAF.1""","""LEW.CAF.2""","""LEW.CAF.3""","""LEW.CAF.4""","""LEW.CAF.5""","""WKY.CAF.1""","""WKY.CAF.2""","""WKY.CAF.3""","""WKY.CAF.4""","""WKY.CAF.5"""
"Met",9.07799184661712,9.09469804392018,8.79082533131658,6.71757252198596,8.09672542316478,6.67763895775958,7.46142984388247,7.17798066838215,7.51001991443512,7.51964356163322,8.68338202185431,8.99730291208392,7.38225635192279,8.298412449805,10.0675348813885,7.13299667377221,7.03285930497655,6.69280155698627,6.66305025805819,7.26076038538729
"Nefh",6.09813105589388,5.89325694472639,6.29271790842128,6.22097715725578,6.11736141377102,7.1612599748636,6.80138254561689,6.84001115467941,7.16971855076779,7.29068061575043,5.97256905889769,6.07971753000228,6.09850092041963,6.0130758379075,6.03700532904662,6.89133954197215,6.97218277490587,7.20183139867487,7.50277732822851,7.261205708244
"Pdgfb",7.21055597507451,7.45600834252069,7.1057733708917,7.47226389919925,7.13987931043473,8.03260467954606,8.56034439557888,8.34797298027602,8.56604678967312,8.47397454225002,7.40277029162184,7.70190444695577,7.2423391463394,7.17310278856631,7.28612371370669,8.40283910048615,8.26869687453355,8.29698548250222,8.08383368480817,8.09767435806867
"Slc4a1",7.72899789089577,8.79632408150017,10.0327661737297,10.7813173287947,9.76188552579003,8.09220492367477,8.95625218761099,9.87375268223655,7.65590282081217,8.36753226767205,10.8122576352477,10.748814194043,11.2617853781912,9.37466394968503,9.63208642505497,9.41142583478436,9.01708991352995,7.40779552064266,9.96034946042139,9.78469143864576
"Htr1b",6.80920136293487,6.98534308149753,6.96226375794735,6.99673156718849,6.86379023828658,7.41855691204651,8.77873044853078,8.34507699784582,8.41936300909556,9.20404308439887,6.72912941882106,6.93388437684791,6.85763216101172,6.85702037633573,7.00959968528262,7.98894689045521,7.57927076217347,7.36889524959122,7.87423638738871,7.92990716052368
"Ampd3",9.38015173219295,9.56500394418738,9.53366333512168,8.62041706821385,9.41241328277658,9.79586780768611,10.9633455022676,10.4092646616599,10.1956124428862,10.7963819946893,9.54873853105904,9.7269144567311,8.98542741702839,9.20626634639008,9.75164094477477,10.3272969066281,10.0127581038785,9.36383895061815,10.0070591677064,10.3224749436271
"Klrd1",9.27740276252384,9.21463658510071,9.20958702774102,9.71656378659301,9.95963064524553,8.29093575152441,8.16050908661462,8.2918707093324,8.06455477977226,8.8214035825223,8.95099096463541,9.08041909114289,8.83521478623689,9.76063767288234,9.47287805917654,7.80573762010055,8.22000766240306,8.26167234503713,7.9398287784793,8.13111183885666
"Itga1",6.5513253555769,6.24596094029492,6.21057518073677,6.83965644842785,7.02414326664026,7.26355076407425,7.71077097699288,7.46148593678328,8.03102799410185,7.9898401736963,6.51807708490709,6.84347128142279,6.28815484547922,6.90681968813326,6.94095154619118,7.29045903674642,7.31038110527401,7.80878279126815,7.23487494792355,7.33811231150949
"Slc2a4",7.81695073427856,7.91535868517453,7.83977578772333,8.81497861061518,8.06269995033848,9.27294010286418,9.62290348688092,9.59095887599694,9.30159710224881,9.3289756073733,8.01976334591544,7.65687931985967,8.08000692121428,8.10938570762021,7.89432653166684,9.26440774801214,9.53039309389335,9.3090932237496,9.64710525325527,9.71407274114519
"Egr3",10.0119941819757,9.59906980926006,9.48897278659313,9.6473431303105,9.18891312981388,10.4818007348527,11.4504770227558,10.9525365584606,11.0781054757564,10.9322841896623,9.45094302628714,8.69223219843953,9.71706004260638,9.22248452261887,9.54857558112181,11.1211207650136,10.513300207886,10.3217296329934,9.9093326598237,10.0860337935122
"Fhl1",10.9064653509333,10.8913332130251,10.9407440948423,11.963832292422,11.2623499054465,10.1160456904266,9.75674415257081,10.3555823167141,10.1156255907718,10.1308845130969,11.0784502533927,10.8595156609501,11.1430289323981,11.2198207297436,10.8224499724738,9.80284635516484,10.2811657586723,10.2320772019272,10.5071379421503,10.4878071329459
